,weekday,time,consumption_kwh,consumption_kw
0,Friday,00:00:00,1.191153846153846,4.764615384615384
1,Friday,00:15:00,1.1667307692307693,4.666923076923077
2,Friday,00:30:00,1.150576923076923,4.602307692307692
3,Friday,00:45:00,1.1984615384615385,4.793846153846154
4,Friday,01:00:00,1.1357692307692309,4.5430769230769235
5,Friday,01:15:00,1.1875,4.75
6,Friday,01:30:00,1.2065384615384616,4.826153846153846
7,Friday,01:45:00,1.2336538461538462,4.934615384615385
8,Friday,02:00:00,1.1713461538461538,4.685384615384615
9,Friday,02:15:00,1.1832692307692307,4.733076923076923
10,Friday,02:30:00,1.1011538461538461,4.404615384615385
11,Friday,02:45:00,1.1209615384615383,4.483846153846153
12,Friday,03:00:00,1.1590384615384617,4.636153846153847
13,Friday,03:15:00,1.315,5.26
14,Friday,03:30:00,1.2753846153846153,5.101538461538461
15,Friday,03:45:00,1.2457692307692307,4.983076923076923
16,Friday,04:00:00,1.3309615384615383,5.323846153846153
17,Friday,04:15:00,1.3826923076923079,5.5307692307692315
18,Friday,04:30:00,1.3763461538461539,5.5053846153846155
19,Friday,04:45:00,1.3192307692307692,5.276923076923077
20,Friday,05:00:00,1.238653846153846,4.954615384615384
21,Friday,05:15:00,1.2617307692307693,5.046923076923077
22,Friday,05:30:00,1.2428846153846154,4.9715384615384615
23,Friday,05:45:00,1.3673076923076921,5.4692307692307685
24,Friday,06:00:00,1.6836538461538462,6.734615384615385
25,Friday,06:15:00,1.834423076923077,7.337692307692308
26,Friday,06:30:00,1.941923076923077,7.767692307692308
27,Friday,06:45:00,2.1334615384615385,8.533846153846154
28,Friday,07:00:00,2.3469230769230767,9.387692307692307
29,Friday,07:15:00,2.296346153846154,9.185384615384615
30,Friday,07:30:00,2.3626923076923076,9.45076923076923
31,Friday,07:45:00,2.301153846153846,9.204615384615384
32,Friday,08:00:00,2.2071153846153844,8.828461538461537
33,Friday,08:15:00,2.1425,8.57
34,Friday,08:30:00,2.1740384615384616,8.696153846153846
35,Friday,08:45:00,2.3449999999999998,9.379999999999999
36,Friday,09:00:00,2.3398076923076925,9.35923076923077
37,Friday,09:15:00,2.390576923076923,9.562307692307693
38,Friday,09:30:00,2.3878846153846154,9.551538461538462
39,Friday,09:45:00,2.2696153846153844,9.078461538461537
40,Friday,10:00:00,2.187692307692308,8.750769230769231
41,Friday,10:15:00,2.174423076923077,8.697692307692307
42,Friday,10:30:00,2.1515384615384616,8.606153846153846
43,Friday,10:45:00,2.3053846153846154,9.221538461538461
44,Friday,11:00:00,2.3971153846153848,9.588461538461539
45,Friday,11:15:00,2.4436538461538464,9.774615384615386
46,Friday,11:30:00,2.5478846153846155,10.191538461538462
47,Friday,11:45:00,2.4928846153846154,9.971538461538461
48,Friday,12:00:00,2.354230769230769,9.416923076923077
49,Friday,12:15:00,2.2546153846153847,9.018461538461539
50,Friday,12:30:00,2.228846153846154,8.915384615384616
51,Friday,12:45:00,2.205576923076923,8.822307692307692
52,Friday,13:00:00,2.0503846153846155,8.201538461538462
53,Friday,13:15:00,1.769423076923077,7.077692307692308
54,Friday,13:30:00,1.7330769230769232,6.932307692307693
55,Friday,13:45:00,1.6730769230769231,6.6923076923076925
56,Friday,14:00:00,1.7049999999999998,6.819999999999999
57,Friday,14:15:00,1.4619230769230769,5.8476923076923075
58,Friday,14:30:00,1.3790384615384614,5.516153846153846
59,Friday,14:45:00,1.2334615384615384,4.9338461538461535
60,Friday,15:00:00,1.111923076923077,4.447692307692308
61,Friday,15:15:00,1.1371153846153847,4.548461538461539
62,Friday,15:30:00,1.2051923076923077,4.820769230769231
63,Friday,15:45:00,1.208076923076923,4.832307692307692
64,Friday,16:00:00,1.1953846153846153,4.781538461538461
65,Friday,16:15:00,1.2061538461538461,4.8246153846153845
66,Friday,16:30:00,1.1151923076923078,4.460769230769231
67,Friday,16:45:00,1.1451923076923076,4.5807692307692305
68,Friday,17:00:00,1.1982692307692309,4.7930769230769235
69,Friday,17:15:00,1.116153846153846,4.464615384615384
70,Friday,17:30:00,1.121346153846154,4.485384615384616
71,Friday,17:45:00,1.1309615384615386,4.523846153846154
72,Friday,18:00:00,1.146346153846154,4.585384615384616
73,Friday,18:15:00,1.1584615384615384,4.633846153846154
74,Friday,18:30:00,1.2082692307692307,4.833076923076923
75,Friday,18:45:00,1.3134615384615385,5.253846153846154
76,Friday,19:00:00,1.3665384615384615,5.466153846153846
77,Friday,19:15:00,1.3623076923076924,5.44923076923077
78,Friday,19:30:00,1.306346153846154,5.225384615384616
79,Friday,19:45:00,1.333653846153846,5.334615384615384
80,Friday,20:00:00,1.165769230769231,4.663076923076924
81,Friday,20:15:00,1.2392307692307691,4.9569230769230765
82,Friday,20:30:00,1.1771153846153846,4.708461538461538
83,Friday,20:45:00,1.1334615384615385,4.533846153846154
84,Friday,21:00:00,1.0978846153846153,4.391538461538461
85,Friday,21:15:00,1.1825,4.73
86,Friday,21:30:00,1.1938461538461538,4.775384615384615
87,Friday,21:45:00,1.2796153846153848,5.118461538461539
88,Friday,22:00:00,1.393846153846154,5.575384615384616
89,Friday,22:15:00,1.3048076923076921,5.2192307692307685
90,Friday,22:30:00,1.2071153846153846,4.828461538461538
91,Friday,22:45:00,1.1990384615384615,4.796153846153846
92,Friday,23:00:00,1.1413461538461538,4.565384615384615
93,Friday,23:15:00,1.1207692307692307,4.483076923076923
94,Friday,23:30:00,1.0603846153846155,4.241538461538462
95,Friday,23:45:00,1.0857692307692308,4.343076923076923
96,Monday,00:00:00,1.1328846153846155,4.531538461538462
97,Monday,00:15:00,1.0548076923076923,4.219230769230769
98,Monday,00:30:00,0.955576923076923,3.822307692307692
99,Monday,00:45:00,0.9536538461538461,3.8146153846153843
100,Monday,01:00:00,0.975576923076923,3.902307692307692
101,Monday,01:15:00,1.0746153846153847,4.298461538461539
102,Monday,01:30:00,1.1923076923076923,4.769230769230769
103,Monday,01:45:00,1.3284615384615384,5.313846153846153
104,Monday,02:00:00,1.3628846153846155,5.451538461538462
105,Monday,02:15:00,1.4469230769230768,5.787692307692307
106,Monday,02:30:00,1.4428846153846153,5.771538461538461
107,Monday,02:45:00,1.3571153846153847,5.428461538461539
108,Monday,03:00:00,1.2523076923076923,5.009230769230769
109,Monday,03:15:00,1.1861538461538461,4.7446153846153845
110,Monday,03:30:00,1.0067307692307692,4.026923076923077
111,Monday,03:45:00,0.9501923076923078,3.800769230769231
112,Monday,04:00:00,1.0396153846153846,4.158461538461538
113,Monday,04:15:00,1.065,4.26
114,Monday,04:30:00,1.0653846153846154,4.2615384615384615
115,Monday,04:45:00,1.1392307692307693,4.556923076923077
116,Monday,05:00:00,1.2230769230769232,4.892307692307693
117,Monday,05:15:00,1.3692307692307693,5.476923076923077
118,Monday,05:30:00,1.458076923076923,5.832307692307692
119,Monday,05:45:00,1.6375000000000002,6.550000000000001
120,Monday,06:00:00,1.9113461538461538,7.645384615384615
121,Monday,06:15:00,1.9501923076923076,7.80076923076923
122,Monday,06:30:00,2.0903846153846155,8.361538461538462
123,Monday,06:45:00,2.158846153846154,8.635384615384616
124,Monday,07:00:00,2.2473076923076922,8.989230769230769
125,Monday,07:15:00,2.2848076923076923,9.13923076923077
126,Monday,07:30:00,2.5963461538461536,10.385384615384615
127,Monday,07:45:00,2.685,10.74
128,Monday,08:00:00,2.8109615384615383,11.243846153846153
129,Monday,08:15:00,2.8530769230769235,11.412307692307694
130,Monday,08:30:00,2.648846153846154,10.595384615384615
131,Monday,08:45:00,2.4836538461538464,9.934615384615386
132,Monday,09:00:00,2.45,9.8
133,Monday,09:15:00,2.477307692307692,9.909230769230769
134,Monday,09:30:00,2.4959615384615383,9.983846153846153
135,Monday,09:45:00,2.4717307692307693,9.886923076923077
136,Monday,10:00:00,2.395769230769231,9.583076923076923
137,Monday,10:15:00,2.2988461538461538,9.195384615384615
138,Monday,10:30:00,2.1740384615384616,8.696153846153846
139,Monday,10:45:00,2.0744230769230767,8.297692307692307
140,Monday,11:00:00,2.081346153846154,8.325384615384616
141,Monday,11:15:00,2.2407692307692306,8.963076923076922
142,Monday,11:30:00,2.180192307692308,8.720769230769232
143,Monday,11:45:00,2.2059615384615388,8.823846153846155
144,Monday,12:00:00,2.062307692307692,8.249230769230769
145,Monday,12:15:00,1.9944230769230769,7.977692307692307
146,Monday,12:30:00,1.8392307692307692,7.356923076923077
147,Monday,12:45:00,1.8448076923076924,7.3792307692307695
148,Monday,13:00:00,1.830769230769231,7.323076923076924
149,Monday,13:15:00,1.9544230769230768,7.817692307692307
150,Monday,13:30:00,2.1951923076923077,8.78076923076923
151,Monday,13:45:00,2.2876923076923075,9.15076923076923
152,Monday,14:00:00,2.201923076923077,8.807692307692308
153,Monday,14:15:00,2.1101923076923077,8.44076923076923
154,Monday,14:30:00,2.1532692307692307,8.613076923076923
155,Monday,14:45:00,1.883076923076923,7.532307692307692
156,Monday,15:00:00,1.8273076923076923,7.309230769230769
157,Monday,15:15:00,1.6928846153846153,6.771538461538461
158,Monday,15:30:00,1.7253846153846153,6.901538461538461
159,Monday,15:45:00,1.6749999999999998,6.699999999999999
160,Monday,16:00:00,1.4538461538461538,5.815384615384615
161,Monday,16:15:00,1.3101923076923077,5.240769230769231
162,Monday,16:30:00,1.2644230769230769,5.0576923076923075
163,Monday,16:45:00,1.2471153846153844,4.988461538461538
