date,consumption_kwh,consumption_kw,hour,dayofweek,quarter,month,year,dayofyear,day_name,is_weekend,is_weekday
2019-01-01,87.54,350.16,0,1,1,1,2019,1,Tuesday,False,True
2019-01-02,157.87,631.48,0,2,1,1,2019,2,Wednesday,False,True
2019-01-03,177.96,711.84,0,3,1,1,2019,3,Thursday,False,True
2019-01-04,178.82,715.28,0,4,1,1,2019,4,Friday,False,True
2019-01-05,127.05,508.2,0,5,1,1,2019,5,Saturday,True,False
2019-01-06,94.3,377.2,0,6,1,1,2019,6,Sunday,True,False
2019-01-07,166.9,667.6,0,0,1,1,2019,7,Monday,False,True
2019-01-08,165.83,663.32,0,1,1,1,2019,8,Tuesday,False,True
2019-01-09,168.23,672.92,0,2,1,1,2019,9,Wednesday,False,True
2019-01-10,157.71,630.84,0,3,1,1,2019,10,Thursday,False,True
2019-01-11,131.89,527.56,0,4,1,1,2019,11,Friday,False,True
2019-01-12,109.67999999999999,438.71999999999997,0,5,1,1,2019,12,Saturday,True,False
2019-01-13,104.42,417.68,0,6,1,1,2019,13,Sunday,True,False
2019-01-14,160.08,640.32,0,0,1,1,2019,14,Monday,False,True
2019-01-15,147.56,590.24,0,1,1,1,2019,15,Tuesday,False,True
2019-01-16,137.4,549.6,0,2,1,1,2019,16,Wednesday,False,True
2019-01-17,145.31,581.24,0,3,1,1,2019,17,Thursday,False,True
2019-01-18,141.79,567.16,0,4,1,1,2019,18,Friday,False,True
2019-01-19,100.83,403.32,0,5,1,1,2019,19,Saturday,True,False
2019-01-20,107.58,430.32,0,6,1,1,2019,20,Sunday,True,False
2019-01-21,147.03,588.12,0,0,1,1,2019,21,Monday,False,True
2019-01-22,150.73,602.92,0,1,1,1,2019,22,Tuesday,False,True
2019-01-23,167.7,670.8,0,2,1,1,2019,23,Wednesday,False,True
2019-01-24,153.45,613.8,0,3,1,1,2019,24,Thursday,False,True
2019-01-25,143.46,573.84,0,4,1,1,2019,25,Friday,False,True
2019-01-26,109.48,437.92,0,5,1,1,2019,26,Saturday,True,False
2019-01-27,108.76,435.04,0,6,1,1,2019,27,Sunday,True,False
2019-01-28,177.49,709.96,0,0,1,1,2019,28,Monday,False,True
2019-01-29,142.54,570.16,0,1,1,1,2019,29,Tuesday,False,True
2019-01-30,144.06,576.24,0,2,1,1,2019,30,Wednesday,False,True
2019-01-31,169.5,678.0,0,3,1,1,2019,31,Thursday,False,True
2019-02-01,157.1,628.4,0,4,1,2,2019,32,Friday,False,True
2019-02-02,97.94,391.76,0,5,1,2,2019,33,Saturday,True,False
2019-02-03,107.19,428.76,0,6,1,2,2019,34,Sunday,True,False
2019-02-04,162.94,651.76,0,0,1,2,2019,35,Monday,False,True
2019-02-05,142.61,570.44,0,1,1,2,2019,36,Tuesday,False,True
2019-02-06,126.53,506.12,0,2,1,2,2019,37,Wednesday,False,True
2019-02-07,131.21,524.84,0,3,1,2,2019,38,Thursday,False,True
2019-02-08,132.62,530.48,0,4,1,2,2019,39,Friday,False,True
2019-02-09,86.82,347.28,0,5,1,2,2019,40,Saturday,True,False
2019-02-10,95.22,380.88,0,6,1,2,2019,41,Sunday,True,False
2019-02-11,140.86,563.44,0,0,1,2,2019,42,Monday,False,True
2019-02-12,137.08,548.32,0,1,1,2,2019,43,Tuesday,False,True
2019-02-13,143.93,575.72,0,2,1,2,2019,44,Wednesday,False,True
2019-02-14,110.13,440.52,0,3,1,2,2019,45,Thursday,False,True
2019-02-15,97.44,389.76,0,4,1,2,2019,46,Friday,False,True
2019-02-16,96.52,386.08,0,5,1,2,2019,47,Saturday,True,False
2019-02-17,105.56,422.24,0,6,1,2,2019,48,Sunday,True,False
2019-02-18,113.44,453.76,0,0,1,2,2019,49,Monday,False,True
2019-02-19,98.62,394.48,0,1,1,2,2019,50,Tuesday,False,True
2019-02-20,98.09,392.36,0,2,1,2,2019,51,Wednesday,False,True
