date,consumption_kwh,consumption_kw,month,year,month-year
2019-01-31,4382.95,17531.8,1,2019,01.19
2019-02-28,3200.22,12800.88,2,2019,02.19
2019-03-31,3060.45,12241.8,3,2019,03.19
2019-04-30,4366.96,17467.84,4,2019,04.19
2019-05-31,3995.46,15981.84,5,2019,05.19
2019-06-30,4241.41,16965.64,6,2019,06.19
2019-07-31,4473.5,17894.0,7,2019,07.19
2019-08-31,4487.53,17950.12,8,2019,08.19
2019-09-30,4714.68,18858.72,9,2019,09.19
2019-10-31,3186.33,12745.32,10,2019,10.19
2019-11-30,5186.26,20745.04,11,2019,11.19
2019-12-31,5442.35,21769.4,12,2019,12.19
2020-01-31,0.8,3.2,1,2020,01.20
